"Index","Open","High","Low","Close","Volume"
2000-01-02,5080,5290,5065,5276,16531
2000-01-03,5325,5385,5245,5359,16785
2000-01-04,5325,5370,5290,5348,14618
2000-01-05,5330,5440,5300,5379,21570
2000-01-06,5420,5440,5340,5373,15750
2000-01-07,5340,5340,5150,5176,12687
2000-01-08,5025,5150,4950,5127,13458
2000-01-09,5180,5200,5040,5085,9392
2000-01-10,5110,5150,5000,5146,9342
2000-01-11,5115,5125,4995,5057,9274
2000-01-12,5075,5080,4990,5071,8823
2000-01-13,5070,5160,5055,5119,8372
2000-01-14,5070,5100,4960,5095,11126
2000-01-15,5080,5095,4900,4904,6870
2000-01-16,4885,4975,4875,4919,8322
2000-01-17,4865,5020,4860,5013,5124
2000-01-18,4985,5045,4950,4976,5538
2000-01-19,4926,4960,4865,4873,8482
2000-01-20,4880,4910,4815,4901,6541
2000-01-21,4880,4905,4770,4801,5234
2000-01-22,4700,4700,4625,4632,9933
2000-01-23,4660,4730,4655,4691,9582
2000-01-24,4750,4805,4730,4788,10201
2000-01-25,4830,4885,4800,4830,10842
2000-01-26,4855,4910,4840,4898,9303
2000-01-27,4960,4970,4875,4920,9535
2000-01-28,4900,4910,4810,4860,9592
2000-01-29,4780,4790,4720,4728,11700
2000-01-30,4760,4765,4700,4735,6768
2000-01-31,4690,4695,4605,4660,8840
2000-02-01,4655,4665,4610,4637,4107
2000-02-02,4700,4715,4545,4558,5334
2000-02-03,4530,4545,4480,4508,7332
2000-02-04,4540,4590,4505,4580,5424
2000-02-05,4525,4600,4515,4579,4835
2000-02-06,4590,4665,4590,4646,6306
2000-02-07,4690,4690,4595,4640,7917
2000-02-08,4565,4585,4500,4522,6837
2000-02-09,4475,4615,4475,4570,6576
2000-02-10,4620,4760,4585,4716,5539
2000-02-11,4380,4400,4295,4347,11613
2000-02-12,4285,4425,4285,4393,14168
2000-02-13,4435,4455,4280,4289,9724
2000-02-14,4280,4395,4260,4354,9028
2000-02-15,4290,4345,4285,4341,5336
2000-02-16,4345,4380,4330,4349,3834
2000-02-17,4375,4395,4290,4303,6788
2000-02-18,4385,4465,4370,4393,7085
2000-02-19,4450,4480,4425,4469,5438
2000-02-20,4360,4380,4305,4334,4736
2000-02-21,4335,4380,4310,4347,5691
2000-02-22,4395,4445,4380,4408,4475
2000-02-23,4430,4435,4355,4422,3902
2000-02-24,4470,4525,4450,4505,5579
2000-02-25,4585,4670,4500,4540,6110
2000-02-26,4490,4635,4490,4626,4868
2000-02-27,4615,4780,4600,4773,7683
2000-02-28,4820,4840,4680,4740,5239
2000-03-01,4710,4790,4695,4778,3875
2000-03-02,4795,4830,4770,4817,3721
2000-03-03,4785,4825,4765,4815,3989
2000-03-04,4860,4875,4850,4860,5229
2000-03-05,4830,4840,4760,4815,3796
2000-03-06,4610,4620,4580,4600,2901
2000-03-07,4580,4585,4510,4520,4585
2000-03-08,4510,4545,4465,4534,5609
2000-03-09,4550,4580,4525,4573,4275
2000-03-10,4585,4590,4540,4546,6253
2000-03-11,4725,4790,4705,4788,5257
2000-03-12,4760,4900,4755,4891,6477
2000-03-13,4865,4920,4830,4902,5024
2000-03-14,4935,4960,4920,4951,3962
